experiment_id,dataset,seed,rank,eta,observable_policy,accuracy,macro_f1,runtime_seconds,entanglement_entropy_proxy,did_interaction_delta,pareto_utility_J_eta
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,1.0,fixed_pauli_subset,0.9277777777777778,0.9278186364916896,0.03052210807800293,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,1.0,greedy_operator_optimized,0.9222222222222223,0.922548721797332,0.031079769134521484,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.0,did_summary,,,,0.0,0.0,0.9574803837140402
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.25,did_summary,,,,0.2,0.0,0.9466744507683648
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.5,did_summary,,,,0.4,0.0,0.9467146242989434
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,0.75,did_summary,,,,0.6000000000000001,0.0,0.9355365199512906
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,16,1.0,did_summary,,,,0.8,-0.005555555555555536,0.921606203450097
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.0,fixed_pauli_subset,0.9416666666666667,0.941852105433622,0.0892934799194336,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.0,greedy_operator_optimized,0.9388888888888889,0.9390894172796294,0.03419995307922363,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.25,fixed_pauli_subset,0.9222222222222223,0.9223522843473134,0.05248141288757324,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.25,greedy_operator_optimized,0.9277777777777778,0.9278335043969351,0.059774160385131836,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.5,fixed_pauli_subset,0.9222222222222223,0.9223522843473134,0.05872368812561035,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.5,greedy_operator_optimized,0.9277777777777778,0.9278335043969351,0.06167197227478027,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.75,fixed_pauli_subset,0.9111111111111111,0.9113810896384139,0.08529448509216309,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,0.75,greedy_operator_optimized,0.9083333333333333,0.9085546573605361,0.09328126907348633,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,1.0,fixed_pauli_subset,0.8944444444444445,0.8948172430661121,0.09371638298034668,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,19,32,1.0,greedy_operator_optimized,0.8861111111111111,0.8868327313424837,0.09491753578186035,0.8,,
